filename,file_hash_md5,file_size_mb,capture_date,clear_act_status,rights_holder,license_terms
Shot_1_314.jpg,e5244bfda697c50d81fc444a13843878,1.51,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
100_0172.JPG,35df189bdd060aeda9dc6c9033421155,1.47,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
Shot_1_249.jpg,0be1a89c5a117c9d873e7b725872c458,1.84,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DSC_2593.jpg,b0184000d587933f0f6430b8fed74740,0.89,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DSC_8719.jpg,f31178a4a1438f2dec40480b24dcaea6,1.66,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
100_0831.JPG,1bd0434881f8c31ec5ec3a5870bce791,3.18,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
Shot_1_075.jpg,18ad148440ee0ee759ac527b8bd77a88,1.58,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
Shot_1_314 copy.jpg,b6530249400d3b2f1d8fa3c5e6ec2cd3,2.03,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
Shot_1_138.jpg,6d0f7941da0d9f2ad762f8b520203d4a,0.69,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
Shot_1_266.jpg,2fca03aee9733eb1cfde277941fbd484,2.25,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DSC_2437.jpg,92277bc4d18bcd8b02f0be0b9b76a3b0,1.96,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
06_capital-511.jpg,8c0b3a4ee8b551de426ca90e78709353,0.67,2026-03-31,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
