filename,file_hash_md5,file_size_mb,capture_date,clear_act_status,rights_holder,license_terms
DP1 8.jpg,5838146404b5c27c8c30a938db81e255,5.15,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP1 14.jpg,0fc8001c1aaf2a93ee44844eaca45cb4,5.32,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP11_27.jpg,e3c41ce06ac2e6f6464d4a9c05ca9672,5.43,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP3 10.jpg,018afa829f7444809aba42719edc3523,5.23,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DSC_0421.jpg,8923f5599073131d62f349493b3d2384,6.53,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP7_60.jpg,b8b11af522018e88d457b0251ca1b82f,5.43,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP4_19.jpg,f0edc2a7fb3b94e35311cdc4fbed20a0,5.14,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP4_08.jpg,27523d601df1936ee8159f50a4e4ab72,5.52,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP7_58.jpg,c94e6039535020cb48a6e65cc6be9a01,5.11,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP11_21.jpg,7491641a4501b6560d3f9e99243e08ae,5.32,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP3 16.jpg,ff0c4f06bd47c74b682ad2ed768ee1b1,5.04,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP3 14.jpg,e8cab918b8a3e88945eb167d0b8570a7,5.09,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP7_66.jpg,53514dc8af80c6314caf670926a607e6,5.15,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP7_67.jpg,4144b19b74523965cbd8feca7f4c038c,5.83,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP11_22.jpg,3d4b2f8407b3fb8334bb84c130e96739,5.27,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP8_79.jpg,2f796b8a5074380977782f67d300e01d,4.39,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP6_54.jpg,cb8f9805b6510d07b870eb7f37443a11,5.38,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP6_40.jpg,693c92f82f56025b509fb1ff9e112a65,4.91,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP10_04.jpg,c29c0b109d6970ef327e263f35737311,5.5,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP8_78.jpg,ca8d6e789b1effe71f81dfce2f3bf19f,4.33,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP2 25.jpg,f1de22721b039faf9ef35bbc6e9d90f1,6.05,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP10_13.jpg,f5cbd02d03c6aecdcecece6d60f07ff6,5.45,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP10_07.jpg,e6242667f80e363f87e475b566c904d2,5.31,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP6_42.jpg,1a24342c9b5a2f5e51b2357f1630fb3f,4.55,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP8_84.jpg,e4f00f5d40e682a9c84b3a198a0caf1c,4.42,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP6_51.jpg,edf882cab0aa1e937e0f45299b513c76,5.66,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP2 22.jpg,bf8d5731097f1a611167cdd83b3c958b,5.76,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP6_44.jpg,9f47bda9a8ad3408e5902cb7fd62495c,4.71,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP5_25.jpg,09343e3488718d2262de1f31148af972,5.46,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP5_26.jpg,a4a48e292ca7e3100d8691676eab7d98,5.14,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP5_32.jpg,060117b1257dbf238785e9f63bf4fb55,5.88,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP2 7.jpg,67ded0515e2c504b2564340f9068ae66,5.14,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP2 14.jpg,bb8336b63c9b04cc1a2d9c24eb9fb5ac,4.83,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP5_35.jpg,c0c95d32836026b1815f9e64d46c43d9,5.03,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP10_08.jpg,7edc63046292089c40e876dce007c164,5.2,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP2 4.jpg,59d8b3e8c9ee8600c85cfa1ee311bcb6,5.3,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP5_20.jpg,8aa0c52fc26d803795fc36bb1fd8c821,4.86,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP1 1.jpg,3f6563cac020bbd0e1597ad064caa4fc,5.49,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP9_90.jpg,d06f6772983acc2e2f5cc8c096b63154,5.2,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP9_87.jpg,a6a680f65e6d81d2af494b5f3e476cbe,5.14,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP1 23.jpg,1d1a7bab5c91914e4fee85dd885ebc84,6.12,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP4_11.jpg,7f90e6f50302ad082d4908dc43d22240,4.93,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP4_05.jpg,781bfe40e40aaabc4c0a6b4dae5dbd5d,5.48,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP3 1.jpg,49cb790402ab6b5616fa39405d48c030,5.0,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP11_15.jpg,2cefd381867a237f5c83276356677832,5.43,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP4_15.jpg,f70dfd267106d4fcac9cbeecde1131b2,4.84,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP1 27.jpg,0b0be42ff9149246e6d4c9739f95953a,5.27,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP9_97.jpg,30f86818661742d3669fbeb443f398fc,5.8,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP3 6.jpg,d05185dd969554180d8428898d5ac6b5,5.01,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP1 31.jpg,7d706ec4913cac2af804330bc0b06761,4.74,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
DP3 7.jpg,595d6bc288089f16363a95c951c17b2c,5.17,2026-01-06,Federal Disclosure Ready - Clean Data,Brett Williams Studios LLC,Perpetual AI Training (Non-Exclusive)
